arm_id,regra_derivada,position_id,repetition,planned_calls,executed_attempts,valid_decisions,failed_units,retry_attempts,cost_status,cost_total_usd,cost_per_binary_decision_usd,cost_mean_usd,cost_median_usd,cost_per_call_usd,latency_min_ms,latency_median_ms,latency_p95_ms,latency_max_ms,input_tokens,output_tokens,total_tokens,cache_tokens,reasoning_tokens,projected_cost_100_usd,projected_cost_1000_usd,projected_cost_10000_usd,paired_cost_reference,paired_cost_difference_total_usd,custo_projetado_C1_mais_C2,latencia_projetada_sequencial,latencia_projetada_paralela
N-INT,AND_C1_C2,local-qwen2-5-coder-7b,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,20965,10837
N-INT,AND_C1_C2,local-qwen2-5-coder-7b,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,21556,11119
N-INT,AND_C1_C2,local-qwen3-8b,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,26968,13775
N-INT,AND_C1_C2,local-qwen3-8b,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000000,27633,14232
N-INT,AND_C1_C2,remote-gpt-5-6-luna-openai,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.019357,4144,2237
N-INT,AND_C1_C2,remote-gpt-5-6-luna-openai,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.017331,4069,2209
N-INT,AND_C1_C2,remote-gpt-oss-20b-groq,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021650,1126,613
N-INT,AND_C1_C2,remote-gpt-oss-20b-groq,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085873,1169,629
N-INT,AND_C1_C2,remote-qwen3-8b-alibaba,R1,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008257,4144,2212
N-INT,AND_C1_C2,remote-qwen3-8b-alibaba,R2,0,0,NA,NA,0,NA_derived_rule_not_a_call,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.071534,3899,1986
N-INT,C1,local-qwen2-5-coder-7b,R1,30,30,27,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9763,10128,11072,15066,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
N-INT,C1,local-qwen2-5-coder-7b,R2,30,30,27,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,9749,10437,12142,17803,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
N-INT,C1,local-qwen3-8b,R1,30,30,15,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12457,13193,14663,16951,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
N-INT,C1,local-qwen3-8b,R2,30,30,15,0,0,accounted_by_budget_reservation,0.000000,0.000000,0.000000,0.000000,0.000000,12604,13401,14879,20319,NA,NA,NA,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.000000,0.000000,0.000000,NA,NA,NA,NA,NA
N-INT,C1,remote-gpt-5-6-luna-openai,R1,30,30,28,0,0,complete,0.006775,0.000242,0.000226,0.000207,0.000226,1481,1907,3844,5032,19727,2358,22085,NA_not_produced_by_pinned_schema,NA_not_produced_by_pinned_schema,0.022583,0.225833,2.258333,NA,NA,NA,NA,NA
